"Rank","Team","Points","Conference","Change","Previous.Rank","Previous.Ranking.Class","Year","Season","Gender","Division","Description","elevation","lat","long"
15,"VIRGINIA",386,"ACC",0,15,"Ranked",2015,"Cross Country","Women","I","FINAL - November 21st",568,38.034,-78.508
16,"PENN STATE",396,"Big Ten",16,32,"Unranked",2015,"Cross Country","Women","I","FINAL - November 21st",1148,40.798,-77.86
17,"MISSISSIPPI STATE",405,"SEC",15,32,"Unranked",2015,"Cross Country","Women","I","FINAL - November 21st",381,33.455,-88.794
18,"MINNESOTA",471,"Big Ten",13,31,"Ranked",2015,"Cross Country","Women","I","FINAL - November 21st",830,44.974,-93.228
19,"VANDERBILT",474,"SEC",9,28,"Ranked",2015,"Cross Country","Women","I","FINAL - November 21st",568,36.145,-86.803
20,"GEORGETOWN",491,"Big East",-16,4,"Ranked",2015,"Cross Country","Women","I","FINAL - November 21st",141,38.908,-77.072
21,"PRINCETON",524,"Ivy League",11,32,"Unranked",2015,"Cross Country","Women","I","FINAL - November 21st",125,40.343,-74.655
22,"WEBER STATE",558,"Big Sky",10,32,"Unranked",2015,"Cross Country","Women","I","FINAL - November 21st",4715,41.192,-111.944
23,"BYU",591,"WCC",9,32,"Unranked",2015,"Cross Country","Women","I","FINAL - November 21st",4665,40.252,-111.649
24,"IOWA STATE",591,"Big 12",-22,2,"Ranked",2015,"Cross Country","Women","I","FINAL - November 21st",899,42.027,-93.647
25,"GONZAGA",615,"WCC",7,32,"Unranked",2015,"Cross Country","Women","I","FINAL - November 21st",1909,47.667,-117.401
26,"UTAH",618,"Pac-12",6,32,"Unranked",2015,"Cross Country","Women","I","FINAL - November 21st",4783,40.765,-111.842
27,"KANSAS",625,"Big 12",5,32,"Unranked",2015,"Cross Country","Women","I","FINAL - November 21st",928,38.954,-95.256
28,"SAN FRANCISCO",636,"WCC",4,32,"Unranked",2015,"Cross Country","Women","I","FINAL - November 21st",335,37.777,-122.451
29,"TULSA",646,"American",3,32,"Unranked",2015,"Cross Country","Women","I","FINAL - November 21st",778,36.152,-95.946
30,"VILLANOVA",667,"Big East",2,32,"Unranked",2015,"Cross Country","Women","I","FINAL - November 21st",459,40.037,-75.343
31,"TEXAS",828,"Big 12",1,32,"Unranked",2015,"Cross Country","Women","I","FINAL - November 21st",522,30.285,-97.734
1,"COLORADO",65,"Pac-12",0,1,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd",5345,40.001,-105.266
2,"STANFORD",98,"Pac-12",17,19,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd",89,37.428,-122.17
3,"PORTLAND",175,"WCC",4,7,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd",33,45.573,-122.728
4,"NORTHERN ARIZONA",188,"Big Sky",-2,2,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd",6893,35.18,-111.654
5,"SYRACUSE",206,"ACC",5,10,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd",551,43.039,-76.135
6,"OREGON",221,"Pac-12",-1,5,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd",446,44.045,-123.073
7,"VILLANOVA",230,"Big East",11,18,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd",459,40.037,-75.343
8,"IONA",270,"Metro Atlantic",-2,6,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd",59,40.927,-73.786
9,"OKLAHOMA STATE",296,"Big 12",-6,3,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd",938,36.127,-97.074
10,"WISCONSIN",335,"Big Ten",-1,9,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd",883,43.077,-89.413
11,"MICHIGAN",365,"Big Ten",10,21,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd",879,42.278,-83.738
12,"NORTH CAROLINA",380,"ACC",5,17,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd",440,35.905,-79.047
13,"PROVIDENCE",393,"Big East",3,16,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd",151,41.844,-71.435
14,"NEW MEXICO",394,"Mountain West",-3,11,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd",5174,35.084,-106.62
15,"INDIANA",416,"Big Ten",-7,8,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd",771,39.178,-86.513
16,"BYU",437,"WCC",-12,4,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd",4665,40.252,-111.649
17,"GEORGETOWN",444,"Big East",15,32,"Unranked",2014,"Cross Country","Men","I","FINAL - November 22nd",141,38.908,-77.072
18,"UCLA",454,"Pac-12",14,32,"Unranked",2014,"Cross Country","Men","I","FINAL - November 22nd",377,34.069,-118.445
19,"COLORADO STATE",468,"Mountain West",7,26,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd",5003,40.573,-105.087
20,"WASHINGTON",479,"Pac-12",12,32,"Unranked",2014,"Cross Country","Men","I","FINAL - November 22nd",95,47.236,-122.55
21,"VIRGINIA",502,"ACC",-8,13,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd",568,38.034,-78.508
22,"SOUTHERN UTAH",578,"Big Sky",10,32,"Unranked",2014,"Cross Country","Men","I","FINAL - November 22nd",5807,37.676,-113.072
23,"EASTERN KENTUCKY",579,"OVC",-8,15,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd",1004,37.735,-84.299
24,"MICHIGAN STATE",583,"Big Ten",8,32,"Unranked",2014,"Cross Country","Men","I","FINAL - November 22nd",863,42.702,-84.482
25,"TULSA",584,"American",2,27,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd",778,36.152,-95.946
26,"TEXAS",615,"Big 12",-12,14,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd",522,30.285,-97.734
27,"UTEP",629,"Conference USA",5,32,"Unranked",2014,"Cross Country","Men","I","FINAL - November 22nd",3720,31.773,-106.505
28,"ARKANSAS",647,"SEC",-16,12,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd",1434,36.069,-94.175
29,"OLE MISS",685,"SEC",3,32,"Unranked",2014,"Cross Country","Men","I","FINAL - November 22nd",509,34.365,-89.538
30,"FURMAN",747,"SoCon",2,32,"Unranked",2014,"Cross Country","Men","I","FINAL - November 22nd",1027,34.926,-82.44
31,"FLORIDA STATE",822,"ACC",1,32,"Unranked",2014,"Cross Country","Men","I","FINAL - November 22nd",79,30.442,-84.299
1,"MICHIGAN STATE",85,"Big Ten",5,6,"Ranked",2014,"Cross Country","Women","I","FINAL - November 22nd",863,42.702,-84.482
2,"IOWA STATE",147,"Big 12",11,13,"Ranked",2014,"Cross Country","Women","I","FINAL - November 22nd",899,42.027,-93.647
3,"NEW MEXICO",188,"Mountain West",7,10,"Ranked",2014,"Cross Country","Women","I","FINAL - November 22nd",5174,35.084,-106.62
4,"GEORGETOWN",189,"Big East",1,5,"Ranked",2014,"Cross Country","Women","I","FINAL - November 22nd",141,38.908,-77.072
5,"ARKANSAS",209,"SEC",10,15,"Ranked",2014,"Cross Country","Women","I","FINAL - November 22nd",1434,36.069,-94.175
6,"OREGON",249,"Pac-12",8,14,"Ranked",2014,"Cross Country","Women","I","FINAL - November 22nd",446,44.045,-123.073
7,"COLORADO",267,"Pac-12",0,7,"Ranked",2014,"Cross Country","Women","I","FINAL - November 22nd",5345,40.001,-105.266
8,"WEST VIRGINIA",277,"Big 12",16,24,"Ranked",2014,"Cross Country","Women","I","FINAL - November 22nd",912,39.648,-79.97
9,"IONA",377,"Metro Atlantic",23,32,"Unranked",2014,"Cross Country","Women","I","FINAL - November 22nd",59,40.927,-73.786
10,"WISCONSIN",382,"Big Ten",11,21,"Ranked",2014,"Cross Country","Women","I","FINAL - November 22nd",883,43.077,-89.413
11,"BOISE STATE",392,"Mountain West",21,32,"Unranked",2014,"Cross Country","Women","I","FINAL - November 22nd",2730,43.603,-116.206
12,"FLORIDA STATE",393,"ACC",-4,8,"Ranked",2014,"Cross Country","Women","I","FINAL - November 22nd",79,30.442,-84.299
13,"PROVIDENCE",401,"Big East",-12,1,"Ranked",2014,"Cross Country","Women","I","FINAL - November 22nd",151,41.844,-71.435
14,"STANFORD",415,"Pac-12",-3,11,"Ranked",2014,"Cross Country","Women","I","FINAL - November 22nd",89,37.428,-122.17
15,"VIRGINIA",433,"ACC",-6,9,"Ranked",2014,"Cross Country","Women","I","FINAL - November 22nd",568,38.034,-78.508
16,"NC STATE",456,"ACC",16,32,"Unranked",2014,"Cross Country","Women","I","FINAL - November 22nd",404,35.785,-78.682
17,"WILLIAM & MARY",463,"Colonial",-5,12,"Ranked",2014,"Cross Country","Women","I","FINAL - November 22nd",82,37.271,-76.716
18,"MICHIGAN",474,"Big Ten",-14,4,"Ranked",2014,"Cross Country","Women","I","FINAL - November 22nd",879,42.278,-83.738
19,"BAYLOR",479,"Big 12",13,32,"Unranked",2014,"Cross Country","Women","I","FINAL - November 22nd",470,31.549,-97.113
20,"DARTMOUTH",508,"Ivy League",-4,16,"Ranked",2014,"Cross Country","Women","I","FINAL - November 22nd",541,43.7044,-72.289
21,"BOSTON COLLEGE",514,"ACC",11,32,"Unranked",2014,"Cross Country","Women","I","FINAL - November 22nd",154,42.336,-71.169
22,"NORTH CAROLINA",515,"ACC",10,32,"Unranked",2014,"Cross Country","Women","I","FINAL - November 22nd",440,35.905,-79.047
23,"WASHINGTON",559,"Pac-12",-6,17,"Ranked",2014,"Cross Country","Women","I","FINAL - November 22nd",95,47.236,-122.55
24,"SYRACUSE",559,"ACC",-2,22,"Ranked",2014,"Cross Country","Women","I","FINAL - November 22nd",551,43.039,-76.135
25,"VIRGINIA TECH",574,"ACC",7,32,"Unranked",2014,"Cross Country","Women","I","FINAL - November 22nd",2064,37.228,-80.423
26,"OHIO STATE",577,"Big Ten",6,32,"Unranked",2014,"Cross Country","Women","I","FINAL - November 22nd",741,40.001,-83.031
27,"UCLA",582,"Pac-12",5,32,"Unranked",2014,"Cross Country","Women","I","FINAL - November 22nd",377,34.069,-118.445
28,"VANDERBILT",598,"SEC",-1,27,"Ranked",2014,"Cross Country","Women","I","FINAL - November 22nd",568,36.145,-86.803
29,"NOTRE DAME",609,"ACC",0,29,"Ranked",2014,"Cross Country","Women","I","FINAL - November 22nd",725,41.699,-86.239
30,"TOLEDO",613,"Mid-American",2,32,"Unranked",2014,"Cross Country","Women","I","FINAL - November 22nd",591,41.658,-83.614
31,"MINNESOTA",663,"Big Ten",-11,20,"Ranked",2014,"Cross Country","Women","I","FINAL - November 22nd",830,44.974,-93.228
1,"COLORADO",149,"Pac-12",2,3,"Ranked",2013,"Cross Country","Men","I","FINAL - November 23rd",5345,40.001,-105.266
2,"NORTHERN ARIZONA",169,"Big Sky",2,4,"Ranked",2013,"Cross Country","Men","I","FINAL - November 23rd",6893,35.18,-111.654
3,"OKLAHOMA STATE",230,"Big 12",-2,1,"Ranked",2013,"Cross Country","Men","I","FINAL - November 23rd",938,36.127,-97.074
4,"BYU",267,"WCC",2,6,"Ranked",2013,"Cross Country","Men","I","FINAL - November 23rd",4665,40.252,-111.649
5,"OREGON",274,"Pac-12",15,20,"Ranked",2013,"Cross Country","Men","I","FINAL - November 23rd",446,44.045,-123.073
6,"IONA",284,"Metro Atlantic",23,29,"Ranked",2013,"Cross Country","Men","I","FINAL - November 23rd",59,40.927,-73.786
7,"PORTLAND",293,"WCC",5,12,"Ranked",2013,"Cross Country","Men","I","FINAL - November 23rd",33,45.573,-122.728
8,"INDIANA",306,"Big Ten",10,18,"Ranked",2013,"Cross Country","Men","I","FINAL - November 23rd",771,39.178,-86.513
9,"WISCONSIN",326,"Big Ten",-7,2,"Ranked",2013,"Cross Country","Men","I","FINAL - November 23rd",883,43.077,-89.413
10,"SYRACUSE",329,"ACC",5,15,"Ranked",2013,"Cross Country","Men","I","FINAL - November 23rd",551,43.039,-76.135
11,"NEW MEXICO",334,"Mountain West",10,21,"Ranked",2013,"Cross Country","Men","I","FINAL - November 23rd",5174,35.084,-106.62
12,"ARKANSAS",340,"SEC",-2,10,"Ranked",2013,"Cross Country","Men","I","FINAL - November 23rd",1434,36.069,-94.175
13,"VIRGINIA",370,"ACC",1,14,"Ranked",2013,"Cross Country","Men","I","FINAL - November 23rd",568,38.034,-78.508
14,"TEXAS",376,"Big 12",-5,9,"Ranked",2013,"Cross Country","Men","I","FINAL - November 23rd",522,30.285,-97.734
15,"EASTERN KENTUCKY",380,"OVC",9,24,"Ranked",2013,"Cross Country","Men","I","FINAL - November 23rd",1004,37.735,-84.299
16,"PROVIDENCE",396,"Big East",16,32,"Unranked",2013,"Cross Country","Men","I","FINAL - November 23rd",151,41.844,-71.435
17,"NORTH CAROLINA",403,"ACC",15,32,"Unranked",2013,"Cross Country","Men","I","FINAL - November 23rd",440,35.905,-79.047
18,"VILLANOVA",415,"Big East",9,27,"Ranked",2013,"Cross Country","Men","I","FINAL - November 23rd",459,40.037,-75.343
19,"STANFORD",417,"Pac-12",-3,16,"Ranked",2013,"Cross Country","Men","I","FINAL - November 23rd",89,37.428,-122.17
20,"AIR FORCE",419,"Mountain West",12,32,"Unranked",2013,"Cross Country","Men","I","FINAL - November 23rd",6788,38.998,-104.862
21,"MICHIGAN",433,"Big Ten",2,23,"Ranked",2013,"Cross Country","Men","I","FINAL - November 23rd",879,42.278,-83.738
22,"PRINCETON",469,"Ivy League",-11,11,"Ranked",2013,"Cross Country","Men","I","FINAL - November 23rd",125,40.343,-74.655
23,"NOTRE DAME",484,"ACC",5,28,"Ranked",2013,"Cross Country","Men","I","FINAL - November 23rd",725,41.699,-86.239
24,"DARTMOUTH",551,"Ivy League",8,32,"Unranked",2013,"Cross Country","Men","I","FINAL - November 23rd",541,43.7044,-72.289
25,"COLUMBIA",580,"Ivy League",-8,17,"Ranked",2013,"Cross Country","Men","I","FINAL - November 23rd",138,40.808,-73.963
26,"COLORADO STATE",606,"Mountain West",6,32,"Unranked",2013,"Cross Country","Men","I","FINAL - November 23rd",5003,40.573,-105.087
27,"TULSA",628,"Conference USA",-20,7,"Ranked",2013,"Cross Country","Men","I","FINAL - November 23rd",778,36.152,-95.946
28,"NC STATE",630,"ACC",-2,26,"Ranked",2013,"Cross Country","Men","I","FINAL - November 23rd",404,35.785,-78.682
29,"FLORIDA",654,"SEC",3,32,"Unranked",2013,"Cross Country","Men","I","FINAL - November 23rd",102,29.644,-82.355
30,"HARVARD",678,"Ivy League",2,32,"Unranked",2013,"Cross Country","Men","I","FINAL - November 23rd",10,42.377,-71.117
31,"GEORGIA",690,"SEC",-12,19,"Ranked",2013,"Cross Country","Men","I","FINAL - November 23rd",728,33.948,-83.377
1,"PROVIDENCE",141,"Big East",1,2,"Ranked",2013,"Cross Country","Women","I","FINAL - November 23rd",151,41.844,-71.435
2,"ARIZONA",197,"Pac-12",4,6,"Ranked",2013,"Cross Country","Women","I","FINAL - November 23rd",2441,32.232,-110.95
3,"BUTLER",200,"Big East",26,29,"Ranked",2013,"Cross Country","Women","I","FINAL - November 23rd",755,39.841,-86.171
4,"MICHIGAN",215,"Big Ten",1,5,"Ranked",2013,"Cross Country","Women","I","FINAL - November 23rd",879,42.278,-83.738
5,"GEORGETOWN",226,"Big East",7,12,"Ranked",2013,"Cross Country","Women","I","FINAL - November 23rd",141,38.908,-77.072
6,"MICHIGAN STATE",236,"Big Ten",10,16,"Ranked",2013,"Cross Country","Women","I","FINAL - November 23rd",863,42.702,-84.482
7,"COLORADO",265,"Pac-12",17,24,"Ranked",2013,"Cross Country","Women","I","FINAL - November 23rd",5345,40.001,-105.266
8,"FLORIDA STATE",278,"ACC",-4,4,"Ranked",2013,"Cross Country","Women","I","FINAL - November 23rd",79,30.442,-84.299
9,"VIRGINIA",283,"ACC",23,32,"Unranked",2013,"Cross Country","Women","I","FINAL - November 23rd",568,38.034,-78.508
10,"NEW MEXICO",301,"Mountain West",0,10,"Ranked",2013,"Cross Country","Women","I","FINAL - November 23rd",5174,35.084,-106.62
11,"STANFORD",322,"Pac-12",-8,3,"Ranked",2013,"Cross Country","Women","I","FINAL - November 23rd",89,37.428,-122.17
12,"WILLIAM & MARY",326,"Colonial",9,21,"Ranked",2013,"Cross Country","Women","I","FINAL - November 23rd",82,37.271,-76.716
13,"IOWA STATE",333,"Big 12",-2,11,"Ranked",2013,"Cross Country","Women","I","FINAL - November 23rd",899,42.027,-93.647
14,"OREGON",340,"Pac-12",-13,1,"Ranked",2013,"Cross Country","Women","I","FINAL - November 23rd",446,44.045,-123.073
15,"ARKANSAS",340,"SEC",3,18,"Ranked",2013,"Cross Country","Women","I","FINAL - November 23rd",1434,36.069,-94.175
16,"DARTMOUTH",369,"Ivy League",16,32,"Unranked",2013,"Cross Country","Women","I","FINAL - November 23rd",541,43.7044,-72.289
17,"WASHINGTON",376,"Pac-12",-8,9,"Ranked",2013,"Cross Country","Women","I","FINAL - November 23rd",95,47.236,-122.55
18,"SAN FRANCISCO",385,"WCC",14,32,"Unranked",2013,"Cross Country","Women","I","FINAL - November 23rd",335,37.777,-122.451
19,"VILLANOVA",397,"Big East",1,20,"Ranked",2013,"Cross Country","Women","I","FINAL - November 23rd",459,40.037,-75.343
20,"MINNESOTA",406,"Big Ten",2,22,"Ranked",2013,"Cross Country","Women","I","FINAL - November 23rd",830,44.974,-93.228
21,"WISCONSIN",489,"Big Ten",11,32,"Unranked",2013,"Cross Country","Women","I","FINAL - November 23rd",883,43.077,-89.413
22,"SYRACUSE",516,"ACC",10,32,"Unranked",2013,"Cross Country","Women","I","FINAL - November 23rd",551,43.039,-76.135
23,"CORNELL",569,"Ivy League",-10,13,"Ranked",2013,"Cross Country","Women","I","FINAL - November 23rd",896,42.453,-76.474
24,"WEST VIRGINIA",621,"Big 12",8,32,"Unranked",2013,"Cross Country","Women","I","FINAL - November 23rd",912,39.648,-79.97
25,"PENN STATE",640,"Big Ten",-11,14,"Ranked",2013,"Cross Country","Women","I","FINAL - November 23rd",1148,40.798,-77.86
26,"INDIANA",673,"Big Ten",6,32,"Unranked",2013,"Cross Country","Women","I","FINAL - November 23rd",771,39.178,-86.513
27,"VANDERBILT",676,"SEC",0,27,"Ranked",2013,"Cross Country","Women","I","FINAL - November 23rd",568,36.145,-86.803
28,"BYU",687,"WCC",4,32,"Unranked",2013,"Cross Country","Women","I","FINAL - November 23rd",4665,40.252,-111.649
29,"NOTRE DAME",688,"ACC",-14,15,"Ranked",2013,"Cross Country","Women","I","FINAL - November 23rd",725,41.699,-86.239
30,"PRINCETON",704,"Ivy League",2,32,"Unranked",2013,"Cross Country","Women","I","FINAL - November 23rd",125,40.343,-74.655
31,"SMU",790,"American",1,32,"Unranked",2013,"Cross Country","Women","I","FINAL - November 23rd",581,32.841,-96.785
1,"OKLAHOMA STATE",72,"Big 12",1,2,"Ranked",2012,"Cross Country","Men","I","FINAL - November 17th",938,36.127,-97.074
2,"WISCONSIN",135,"Big Ten",-1,1,"Ranked",2012,"Cross Country","Men","I","FINAL - November 17th",883,43.077,-89.413
3,"COLORADO",158,"Pac-12",0,3,"Ranked",2012,"Cross Country","Men","I","FINAL - November 17th",5345,40.001,-105.266
4,"NORTHERN ARIZONA",191,"Big Sky",10,14,"Ranked",2012,"Cross Country","Men","I","FINAL - November 17th",6893,35.18,-111.654
5,"FLORIDA STATE",238,"ACC",7,12,"Ranked",2012,"Cross Country","Men","I","FINAL - November 17th",79,30.442,-84.299
6,"BYU",245,"WCC",-2,4,"Ranked",2012,"Cross Country","Men","I","FINAL - November 17th",4665,40.252,-111.649
7,"TULSA",247,"Conference USA",18,25,"Ranked",2012,"Cross Country","Men","I","FINAL - November 17th",778,36.152,-95.946
8,"OKLAHOMA",262,"Big 12",-2,6,"Ranked",2012,"Cross Country","Men","I","FINAL - November 17th",1165,35.206,-97.446
9,"TEXAS",291,"Big 12",2,11,"Ranked",2012,"Cross Country","Men","I","FINAL - November 17th",522,30.285,-97.734
10,"ARKANSAS",327,"SEC",22,32,"Unranked",2012,"Cross Country","Men","I","FINAL - November 17th",1434,36.069,-94.175
11,"PRINCETON",358,"Ivy League",8,19,"Ranked",2012,"Cross Country","Men","I","FINAL - November 17th",125,40.343,-74.655
12,"PORTLAND",365,"WCC",-4,8,"Ranked",2012,"Cross Country","Men","I","FINAL - November 17th",33,45.573,-122.728
13,"UCLA",376,"Pac-12",19,32,"Unranked",2012,"Cross Country","Men","I","FINAL - November 17th",377,34.069,-118.445
14,"VIRGINIA",382,"ACC",18,32,"Unranked",2012,"Cross Country","Men","I","FINAL - November 17th",568,38.034,-78.508
15,"SYRACUSE",405,"Big East (1st Ed.)",0,15,"Ranked",2012,"Cross Country","Men","I","FINAL - November 17th",551,43.039,-76.135
16,"STANFORD",408,"Pac-12",-11,5,"Ranked",2012,"Cross Country","Men","I","FINAL - November 17th",89,37.428,-122.17
17,"COLUMBIA",439,"Ivy League",10,27,"Ranked",2012,"Cross Country","Men","I","FINAL - November 17th",138,40.808,-73.963
18,"INDIANA",456,"Big Ten",-11,7,"Ranked",2012,"Cross Country","Men","I","FINAL - November 17th",771,39.178,-86.513
19,"GEORGIA",466,"SEC",10,29,"Ranked",2012,"Cross Country","Men","I","FINAL - November 17th",728,33.948,-83.377
20,"OREGON",472,"Pac-12",12,32,"Unranked",2012,"Cross Country","Men","I","FINAL - November 17th",446,44.045,-123.073
21,"NEW MEXICO",473,"Mountain West",10,31,"Ranked",2012,"Cross Country","Men","I","FINAL - November 17th",5174,35.084,-106.62
22,"VIRGINIA TECH",516,"ACC",10,32,"Unranked",2012,"Cross Country","Men","I","FINAL - November 17th",2064,37.228,-80.423
23,"MICHIGAN",518,"Big Ten",-3,20,"Ranked",2012,"Cross Country","Men","I","FINAL - November 17th",879,42.278,-83.738
24,"EASTERN KENTUCKY",522,"OVC",2,26,"Ranked",2012,"Cross Country","Men","I","FINAL - November 17th",1004,37.735,-84.299
25,"GEORGETOWN",534,"Big East (1st Ed.)",-8,17,"Ranked",2012,"Cross Country","Men","I","FINAL - November 17th",141,38.908,-77.072
26,"NC STATE",550,"ACC",-16,10,"Ranked",2012,"Cross Country","Men","I","FINAL - November 17th",404,35.785,-78.682
27,"VILLANOVA",588,"Big East (1st Ed.)",-14,13,"Ranked",2012,"Cross Country","Men","I","FINAL - November 17th",459,40.037,-75.343
28,"NOTRE DAME",591,"Big East (1st Ed.)",-4,24,"Ranked",2012,"Cross Country","Men","I","FINAL - November 17th",725,41.699,-86.239
29,"IONA",626,"Metro Atlantic",-20,9,"Ranked",2012,"Cross Country","Men","I","FINAL - November 17th",59,40.927,-73.786
30,"DUKE",725,"ACC",2,32,"Unranked",2012,"Cross Country","Men","I","FINAL - November 17th",394,36.001,-78.938
31,"MICHIGAN STATE",755,"Big Ten",1,32,"Unranked",2012,"Cross Country","Men","I","FINAL - November 17th",863,42.702,-84.482
1,"OREGON",114,"Pac-12",4,5,"Ranked",2012,"Cross Country","Women","I","FINAL - November 17th",446,44.045,-123.073
2,"PROVIDENCE",183,"Big East (1st Ed.)",30,32,"Unranked",2012,"Cross Country","Women","I","FINAL - November 17th",151,41.844,-71.435
3,"STANFORD",198,"Pac-12",7,10,"Ranked",2012,"Cross Country","Women","I","FINAL - November 17th",89,37.428,-122.17
4,"FLORIDA STATE",202,"ACC",0,4,"Ranked",2012,"Cross Country","Women","I","FINAL - November 17th",79,30.442,-84.299
5,"MICHIGAN",247,"Big Ten",10,15,"Ranked",2012,"Cross Country","Women","I","FINAL - November 17th",879,42.278,-83.738
6,"ARIZONA",263,"Pac-12",13,19,"Ranked",2012,"Cross Country","Women","I","FINAL - November 17th",2441,32.232,-110.95
7,"DUKE",300,"ACC",25,32,"Unranked",2012,"Cross Country","Women","I","FINAL - November 17th",394,36.001,-78.938
8,"CONNECTICUT",304,"Big East (1st Ed.)",24,32,"Unranked",2012,"Cross Country","Women","I","FINAL - November 17th",617,41.808,-72.254
9,"WASHINGTON",334,"Pac-12",-7,2,"Ranked",2012,"Cross Country","Women","I","FINAL - November 17th",95,47.236,-122.55
10,"NEW MEXICO",341,"Mountain West",-1,9,"Ranked",2012,"Cross Country","Women","I","FINAL - November 17th",5174,35.084,-106.62
11,"IOWA STATE",350,"Big 12",-4,7,"Ranked",2012,"Cross Country","Women","I","FINAL - November 17th",899,42.027,-93.647
12,"GEORGETOWN",381,"Big East (1st Ed.)",-11,1,"Ranked",2012,"Cross Country","Women","I","FINAL - November 17th",141,38.908,-77.072
13,"CORNELL",385,"Ivy League",19,32,"Unranked",2012,"Cross Country","Women","I","FINAL - November 17th",896,42.453,-76.474
14,"PENN STATE",387,"Big Ten",-1,13,"Ranked",2012,"Cross Country","Women","I","FINAL - November 17th",1148,40.798,-77.86
15,"NOTRE DAME",394,"Big East (1st Ed.)",7,22,"Ranked",2012,"Cross Country","Women","I","FINAL - November 17th",725,41.699,-86.239
16,"MICHIGAN STATE",422,"Big Ten",0,16,"Ranked",2012,"Cross Country","Women","I","FINAL - November 17th",863,42.702,-84.482
17,"WEBER STATE",428,"Big Sky",12,29,"Ranked",2012,"Cross Country","Women","I","FINAL - November 17th",4715,41.192,-111.944
18,"ARKANSAS",449,"SEC",-4,14,"Ranked",2012,"Cross Country","Women","I","FINAL - November 17th",1434,36.069,-94.175
19,"BOSTON COLLEGE",462,"ACC",-7,12,"Ranked",2012,"Cross Country","Women","I","FINAL - November 17th",154,42.336,-71.169
20,"VILLANOVA",475,"Big East (1st Ed.)",-17,3,"Ranked",2012,"Cross Country","Women","I","FINAL - November 17th",459,40.037,-75.343
21,"WILLIAM & MARY",481,"Colonial",11,32,"Unranked",2012,"Cross Country","Women","I","FINAL - November 17th",82,37.271,-76.716
22,"MINNESOTA",500,"Big Ten",5,27,"Ranked",2012,"Cross Country","Women","I","FINAL - November 17th",830,44.974,-93.228
23,"FLORIDA",518,"SEC",9,32,"Unranked",2012,"Cross Country","Women","I","FINAL - November 17th",102,29.644,-82.355
24,"COLORADO",519,"Pac-12",-13,11,"Ranked",2012,"Cross Country","Women","I","FINAL - November 17th",5345,40.001,-105.266
25,"TEXAS",526,"Big 12",1,26,"Ranked",2012,"Cross Country","Women","I","FINAL - November 17th",522,30.285,-97.734
26,"OKLAHOMA STATE",565,"Big 12",4,30,"Ranked",2012,"Cross Country","Women","I","FINAL - November 17th",938,36.127,-97.074
27,"VANDERBILT",611,"SEC",-21,6,"Ranked",2012,"Cross Country","Women","I","FINAL - November 17th",568,36.145,-86.803
28,"TOLEDO",613,"Mid-American",-7,21,"Ranked",2012,"Cross Country","Women","I","FINAL - November 17th",591,41.658,-83.614
29,"BUTLER",636,"Atlantic 10",3,32,"Unranked",2012,"Cross Country","Women","I","FINAL - November 17th",755,39.841,-86.171
30,"GEORGIA",642,"SEC",2,32,"Unranked",2012,"Cross Country","Women","I","FINAL - November 17th",728,33.948,-83.377
31,"HARVARD",676,"Ivy League",1,32,"Unranked",2012,"Cross Country","Women","I","FINAL - November 17th",10,42.377,-71.117
1,"WISCONSIN",97,"Big Ten",2,3,"Ranked",2011,"Cross Country","Men","I","FINAL - November 21st",883,43.077,-89.413
2,"OKLAHOMA STATE",139,"Big 12",-1,1,"Ranked",2011,"Cross Country","Men","I","FINAL - November 21st",938,36.127,-97.074
3,"COLORADO",144,"Pac-12",12,15,"Ranked",2011,"Cross Country","Men","I","FINAL - November 21st",5345,40.001,-105.266
4,"BYU",203,"WCC",14,18,"Ranked",2011,"Cross Country","Men","I","FINAL - November 21st",4665,40.252,-111.649
5,"STANFORD",207,"Pac-12",-1,4,"Ranked",2011,"Cross Country","Men","I","FINAL - November 21st",89,37.428,-122.17
6,"OKLAHOMA",213,"Big 12",-1,5,"Ranked",2011,"Cross Country","Men","I","FINAL - November 21st",1165,35.206,-97.446
