"","Rank","Team","Points","Conference","Change","Previous Rank","Previous Ranking Class","Year","Season","Gender","Division","Description"
"127",4,"IOWA STATE",211,"Big 12",3,7,"Ranked",2019,"Cross Country","Men","I","FINAL - November 23rd"
"128",5,"TULSA",243,"American",25,30,"Ranked",2019,"Cross Country","Men","I","FINAL - November 23rd"
"129",6,"STANFORD",248,"Pac-12",-1,5,"Ranked",2019,"Cross Country","Men","I","FINAL - November 23rd"
"130",7,"MICHIGAN",250,"Big Ten",12,19,"Ranked",2019,"Cross Country","Men","I","FINAL - November 23rd"
"131",8,"NOTRE DAME",269,"ACC",6,14,"Ranked",2019,"Cross Country","Men","I","FINAL - November 23rd"
"132",9,"OREGON",307,"Pac-12",6,15,"Ranked",2019,"Cross Country","Men","I","FINAL - November 23rd"
"133",10,"PORTLAND",314,"WCC",-7,3,"Ranked",2019,"Cross Country","Men","I","FINAL - November 23rd"
"134",11,"PURDUE",338,"Big Ten",18,29,"Ranked",2019,"Cross Country","Men","I","FINAL - November 23rd"
"135",12,"IONA",348,"Metro Atlantic",16,28,"Ranked",2019,"Cross Country","Men","I","FINAL - November 23rd"
"136",13,"INDIANA",367,"Big Ten",5,18,"Ranked",2019,"Cross Country","Men","I","FINAL - November 23rd"
"137",14,"FURMAN",379,"SoCon",18,32,"Unranked",2019,"Cross Country","Men","I","FINAL - November 23rd"
"138",15,"HARVARD",384,"Ivy League",17,32,"Unranked",2019,"Cross Country","Men","I","FINAL - November 23rd"
"139",16,"UTAH STATE",428,"Mountain West",16,32,"Unranked",2019,"Cross Country","Men","I","FINAL - November 23rd"
"140",17,"VIRGINIA TECH",451,"ACC",15,32,"Unranked",2019,"Cross Country","Men","I","FINAL - November 23rd"
"141",18,"WISCONSIN",462,"Big Ten",-10,8,"Ranked",2019,"Cross Country","Men","I","FINAL - November 23rd"
"142",19,"WASHINGTON",466,"Pac-12",-13,6,"Ranked",2019,"Cross Country","Men","I","FINAL - November 23rd"
"143",20,"VIRGINIA",468,"ACC",12,32,"Unranked",2019,"Cross Country","Men","I","FINAL - November 23rd"
"144",21,"BOISE STATE",525,"Mountain West",-11,10,"Ranked",2019,"Cross Country","Men","I","FINAL - November 23rd"
"145",22,"OLE MISS",535,"SEC",-5,17,"Ranked",2019,"Cross Country","Men","I","FINAL - November 23rd"
"146",23,"VILLANOVA",556,"Big East",0,23,"Ranked",2019,"Cross Country","Men","I","FINAL - November 23rd"
"147",24,"ALABAMA",582,"SEC",8,32,"Unranked",2019,"Cross Country","Men","I","FINAL - November 23rd"
"148",25,"TEXAS",588,"Big 12",2,27,"Ranked",2019,"Cross Country","Men","I","FINAL - November 23rd"
"149",26,"NC STATE",605,"ACC",-15,11,"Ranked",2019,"Cross Country","Men","I","FINAL - November 23rd"
"150",27,"SYRACUSE",610,"ACC",-1,26,"Ranked",2019,"Cross Country","Men","I","FINAL - November 23rd"
"151",28,"GEORGETOWN",676,"Big East",4,32,"Unranked",2019,"Cross Country","Men","I","FINAL - November 23rd"
"152",29,"FLORIDA STATE",694,"ACC",2,31,"Ranked",2019,"Cross Country","Men","I","FINAL - November 23rd"
"153",30,"ARKANSAS",728,"SEC",-5,25,"Ranked",2019,"Cross Country","Men","I","FINAL - November 23rd"
"154",31,"MIDDLE TENNESSEE",865,"Conference USA",1,32,"Unranked",2019,"Cross Country","Men","I","FINAL - November 23rd"
"155",1,"ARKANSAS",96,"SEC",13,14,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd"
"156",2,"BYU",102,"WCC",5,7,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd"
"157",3,"STANFORD",123,"Pac-12",2,5,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd"
"158",4,"NEW MEXICO",168,"Mountain West",-2,2,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd"
"159",5,"NC STATE",190,"ACC",8,13,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd"
"160",6,"MICHIGAN STATE",209,"Big Ten",5,11,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd"
"161",7,"WISCONSIN",235,"Big Ten",3,10,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd"
"162",8,"AIR FORCE",259,"Mountain West",24,32,"Unranked",2019,"Cross Country","Women","I","FINAL - November 23rd"
"163",9,"FURMAN",290,"SoCon",14,23,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd"
"164",10,"COLORADO",294,"Pac-12",-9,1,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd"
"165",11,"WASHINGTON",296,"Pac-12",-2,9,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd"
"166",12,"FLORIDA STATE",308,"ACC",14,26,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd"
"167",13,"MICHIGAN",395,"Big Ten",-9,4,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd"
"168",14,"NORTHERN ARIZONA",406,"Big Sky",18,32,"Unranked",2019,"Cross Country","Women","I","FINAL - November 23rd"
"169",15,"NOTRE DAME",415,"ACC",-7,8,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd"
"170",16,"UTAH",471,"Pac-12",16,32,"Unranked",2019,"Cross Country","Women","I","FINAL - November 23rd"
"171",17,"BOISE STATE",474,"Mountain West",-11,6,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd"
"172",18,"PENN STATE",482,"Big Ten",2,20,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd"
"173",19,"INDIANA",509,"Big Ten",-2,17,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd"
"174",20,"BOSTON COLLEGE",514,"ACC",12,32,"Unranked",2019,"Cross Country","Women","I","FINAL - November 23rd"
"175",21,"OLE MISS",541,"SEC",1,22,"Ranked",2019,"Cross Country","Women","I","FINAL - November 23rd"
